StrideIndex,Subject,Trial,Speed
1,AB17,levelground_ccw_fast_01_01_08,fast
2,AB17,levelground_ccw_fast_01_01_09,fast
3,AB17,levelground_ccw_fast_01_02_03,fast
4,AB17,levelground_ccw_fast_01_02_08,fast
5,AB17,levelground_ccw_fast_01_02_09,fast
6,AB17,levelground_ccw_normal_01_01_07,normal
7,AB17,levelground_ccw_normal_01_01_08,normal
8,AB17,levelground_ccw_normal_01_01_09,normal
9,AB17,levelground_ccw_normal_01_02_04,normal
10,AB17,levelground_ccw_normal_01_02_09,normal
11,AB17,levelground_ccw_normal_01_02_10,normal
12,AB17,levelground_ccw_normal_01_03_04,normal
13,AB17,levelground_ccw_normal_01_03_09,normal
14,AB17,levelground_ccw_normal_01_03_10,normal
15,AB17,levelground_ccw_normal_01_04_09,normal
16,AB17,levelground_ccw_normal_01_04_10,normal
17,AB17,levelground_ccw_slow_01_01_03,slow
18,AB17,levelground_ccw_slow_01_01_04,slow
19,AB17,levelground_ccw_slow_01_01_09,slow
20,AB17,levelground_ccw_slow_01_01_10,slow
21,AB17,levelground_ccw_slow_01_01_11,slow
22,AB17,levelground_ccw_slow_01_02_03,slow
23,AB17,levelground_ccw_slow_01_02_09,slow
24,AB17,levelground_ccw_slow_01_02_10,slow
25,AB17,levelground_ccw_slow_02_01_03,slow
26,AB17,levelground_ccw_slow_02_01_04,slow
27,AB17,levelground_ccw_slow_02_01_09,slow
28,AB17,levelground_ccw_slow_02_01_10,slow
29,AB17,levelground_ccw_slow_02_01_11,slow
30,AB17,levelground_ccw_slow_02_02_04,slow
31,AB17,levelground_ccw_slow_02_02_10,slow
32,AB17,levelground_ccw_slow_02_02_11,slow
33,AB17,levelground_ccw_slow_02_02_12,slow
34,AB17,levelground_cw_fast_01_01_03,fast
35,AB17,levelground_cw_fast_01_01_04,fast
36,AB17,levelground_cw_fast_01_01_05,fast
37,AB17,levelground_cw_fast_01_01_10,fast
38,AB17,levelground_cw_fast_01_02_03,fast
39,AB17,levelground_cw_fast_01_02_04,fast
40,AB17,levelground_cw_fast_01_02_05,fast
41,AB17,levelground_cw_fast_01_02_11,fast
42,AB17,levelground_cw_fast_01_03_01,fast
43,AB17,levelground_cw_fast_01_03_02,fast
44,AB17,levelground_cw_fast_01_03_03,fast
45,AB17,levelground_cw_fast_01_03_09,fast
46,AB17,levelground_cw_normal_01_01_02,normal
47,AB17,levelground_cw_normal_01_01_03,normal
48,AB17,levelground_cw_normal_01_01_04,normal
49,AB17,levelground_cw_normal_01_01_10,normal
50,AB17,levelground_cw_normal_01_02_02,normal
51,AB17,levelground_cw_normal_01_02_03,normal
52,AB17,levelground_cw_normal_01_02_04,normal
53,AB17,levelground_cw_normal_01_02_05,normal
54,AB17,levelground_cw_normal_01_02_10,normal
55,AB17,levelground_cw_normal_01_03_03,normal
56,AB17,levelground_cw_normal_01_03_04,normal
57,AB17,levelground_cw_normal_01_03_05,normal
58,AB17,levelground_cw_normal_01_03_11,normal
59,AB17,levelground_cw_normal_01_03_12,normal
60,AB17,levelground_cw_normal_01_04_03,normal
61,AB17,levelground_cw_normal_01_04_04,normal
62,AB17,levelground_cw_normal_01_04_05,normal
63,AB17,levelground_cw_normal_01_04_06,normal
64,AB17,levelground_cw_normal_01_04_11,normal
65,AB17,levelground_cw_normal_01_04_12,normal
66,AB17,levelground_cw_slow_01_01_02,slow
67,AB17,levelground_cw_slow_01_01_03,slow
68,AB17,levelground_cw_slow_01_01_04,slow
69,AB17,levelground_cw_slow_01_01_05,slow
70,AB17,levelground_cw_slow_01_01_11,slow
71,AB17,levelground_cw_slow_01_01_12,slow
72,AB17,levelground_cw_slow_01_02_02,slow
73,AB17,levelground_cw_slow_01_02_03,slow
74,AB17,levelground_cw_slow_01_02_04,slow
75,AB17,levelground_cw_slow_01_02_05,slow
76,AB17,levelground_cw_slow_01_02_11,slow
77,AB17,levelground_cw_slow_01_02_12,slow
78,AB17,levelground_cw_slow_02_01_02,slow
79,AB17,levelground_cw_slow_02_01_03,slow
80,AB17,levelground_cw_slow_02_01_04,slow
81,AB17,levelground_cw_slow_02_01_05,slow
82,AB17,levelground_cw_slow_02_01_10,slow
83,AB17,levelground_cw_slow_02_01_11,slow
84,AB17,levelground_cw_slow_02_02_02,slow
85,AB17,levelground_cw_slow_02_02_03,slow
86,AB17,levelground_cw_slow_02_02_04,slow
87,AB17,levelground_cw_slow_02_02_05,slow
88,AB17,levelground_cw_slow_02_02_10,slow
89,AB17,levelground_cw_slow_02_02_11,slow
90,AB17,levelground_cw_slow_02_03_02,slow
91,AB17,levelground_cw_slow_02_03_03,slow
92,AB17,levelground_cw_slow_02_03_04,slow
93,AB17,levelground_cw_slow_02_03_05,slow
94,AB17,levelground_cw_slow_02_03_11,slow
95,AB17,levelground_cw_slow_02_03_12,slow
