StrideIndex,NormalizedTime,emg_vastusmedialis,emg_vastuslateralis,emg_rectusfemoris,emg_bicepsfemoris,emg_semitendinosus,emg_gracilis,imu_thigh_Accel_X,imu_thigh_Accel_Y,imu_thigh_Accel_Z,imu_thigh_Gyro_X,imu_thigh_Gyro_Y,imu_thigh_Gyro_Z,gon_knee_sagittal,ankle_sagittal
1,0,2.16470358,2.11695601,2.1329007,0.62726166,0.9731802,0.8691017,1.12505539,-1.9829073,-1.2176393,-0.7758206,-0.0729995,-2.2263139,-17.566982,0.11239246
1,1,2.112552,2.10629707,2.27149459,0.59959278,0.92153149,0.67933179,1.31079226,-1.7386548,-0.7183154,-0.7345592,0.0864937,-4.8304638,-21.39867,-2.9734532
1,2,2.01979795,2.05032693,2.35708724,0.57178888,0.86104933,0.54160436,1.06338436,-1.0384493,0.75516434,-1.1031995,-0.2248048,-5.9788345,-22.878715,-8.4115648
1,3,1.89079286,1.95174425,2.38179791,0.54416122,0.79330371,0.45547903,-2.0302689,-0.4290896,1.96764394,-0.801978,-2.5251547,-6.3755606,-21.441242,-13.548735
1,4,1.73164199,1.81601527,2.34242853,0.51736727,0.72084239,0.41585705,-2.0247741,0.54094678,1.88307494,-2.154177,-5.2401833,0.68944847,-18.248027,-15.812212
1,5,1.54938991,1.65021617,2.24005885,0.49241281,0.6468632,0.41469699,-1.9907719,-0.8899271,-0.5346574,5.45759737,-0.4281397,3.76016391,-15.850575,-14.867354
1,6,1.35193581,1.4626879,2.08051189,0.47058645,0.5749497,0.44180029,-1.3141744,-0.5510849,0.35632942,7.9891203,2.21463423,1.09609515,-16.361835,-12.303535
1,7,1.14752881,1.26225752,1.87357731,0.45335933,0.50873283,0.48616018,-0.0921512,-0.8763414,0.43696383,3.17481702,2.58578957,1.61794712,-19.937702,-9.908173
1,8,0.94433378,1.0576485,1.63189141,0.44228085,0.45164032,0.53705698,0.22876293,-1.4608337,0.33054515,0.64122135,1.56375981,-0.7376488,-25.114477,-8.5517009
1,9,0.74994127,0.85699132,1.36991177,0.43879863,0.40659701,0.58494158,0.02154177,-1.8920295,-0.2239653,-2.7525061,1.24119913,-3.2310789,-30.018168,-8.0844994
1,10,0.57104384,0.66744412,1.10229793,0.44425666,0.3760502,0.6220965,0.05898912,-1.8751894,-0.6458708,-4.1758635,1.2434518,-4.958685,-33.216611,-7.8746176
1,11,0.4128136,0.49469872,0.84285838,0.45966588,0.36165389,0.64320705,-0.8846368,-1.5460577,-0.6315154,-3.7351528,-0.1027756,-4.6819823,-34.212975,-7.3841922
1,12,0.27903411,0.34308683,0.60357829,0.48590728,0.36462291,0.64523112,-1.4548657,-0.9481767,-0.3849342,-2.2379635,-0.9624419,-3.6457867,-33.301849,-6.4675634
1,13,0.17150402,0.21513098,0.39364275,0.52359101,0.38546824,0.62766883,-1.6815991,-0.6719128,0.14913381,-0.3429389,-0.6558336,-2.713166,-31.169846,-5.2969126
1,14,0.0905058,0.11201778,0.21947429,0.57341319,0.42446077,0.59192919,-1.6394696,-0.6763444,0.85377777,0.29210926,-0.4594222,-2.3275222,-28.621586,-4.0478568
1,15,0.03458607,0.03345713,0.0842914,0.63616068,0.48152766,0.5411538,-1.4129837,-0.5176873,1.11566324,0.20343138,-0.5093363,-2.3062671,-26.405713,-2.7694687
1,16,0.00102529,-0.0218521,-0.0113756,0.71290788,0.55650693,0.4795215,-1.1282854,-0.2457944,0.93987263,0.46817425,-0.5227185,-2.3957964,-24.973818,-1.4557527
1,17,-0.0139097,-0.0559919,-0.0693502,0.80492173,0.64909592,0.41172645,-0.8842961,-0.1724081,0.36137963,0.70010267,-0.2068543,-2.8437037,-24.424457,-0.1558091
1,18,-0.0146152,-0.0714343,-0.0933507,0.91333057,0.75865678,0.34242438,-0.736311,-0.2120731,0.15217241,0.72658378,0.07697119,-3.3608959,-24.495737,1.0222478
