StrideIndex,Subject,Trial,Speed
1,AB14,levelground_ccw_fast_01_01_08,fast
2,AB14,levelground_ccw_fast_01_02_09,fast
3,AB14,levelground_ccw_fast_01_03_09,fast
4,AB14,levelground_ccw_fast_01_04_09,fast
5,AB14,levelground_ccw_fast_02_01_08,fast
6,AB14,levelground_ccw_normal_01_01_08,normal
7,AB14,levelground_ccw_normal_01_01_09,normal
8,AB14,levelground_ccw_normal_01_02_09,normal
9,AB14,levelground_ccw_normal_01_02_10,normal
10,AB14,levelground_ccw_normal_01_03_09,normal
11,AB14,levelground_ccw_normal_01_03_10,normal
12,AB14,levelground_ccw_normal_01_04_09,normal
13,AB14,levelground_ccw_normal_01_04_10,normal
14,AB14,levelground_ccw_normal_01_05_09,normal
15,AB14,levelground_ccw_normal_01_05_10,normal
16,AB14,levelground_ccw_slow_01_01_03,slow
17,AB14,levelground_ccw_slow_01_01_08,slow
18,AB14,levelground_ccw_slow_01_01_09,slow
19,AB14,levelground_ccw_slow_01_02_04,slow
20,AB14,levelground_ccw_slow_01_02_09,slow
21,AB14,levelground_ccw_slow_01_02_10,slow
22,AB14,levelground_ccw_slow_01_03_04,slow
23,AB14,levelground_ccw_slow_01_03_09,slow
24,AB14,levelground_ccw_slow_01_03_10,slow
25,AB14,levelground_ccw_slow_01_04_03,slow
26,AB14,levelground_ccw_slow_01_04_08,slow
27,AB14,levelground_ccw_slow_01_04_09,slow
28,AB14,levelground_cw_fast_01_01_01,fast
29,AB14,levelground_cw_fast_01_01_02,fast
30,AB14,levelground_cw_fast_01_01_08,fast
31,AB14,levelground_cw_fast_01_01_09,fast
32,AB14,levelground_cw_fast_01_02_03,fast
33,AB14,levelground_cw_fast_01_02_04,fast
34,AB14,levelground_cw_fast_01_02_10,fast
35,AB14,levelground_cw_fast_01_02_11,fast
36,AB14,levelground_cw_fast_01_03_02,fast
37,AB14,levelground_cw_fast_01_03_03,fast
38,AB14,levelground_cw_fast_01_03_09,fast
39,AB14,levelground_cw_fast_01_03_10,fast
40,AB14,levelground_cw_fast_01_04_02,fast
41,AB14,levelground_cw_fast_01_04_03,fast
42,AB14,levelground_cw_fast_01_04_09,fast
43,AB14,levelground_cw_fast_01_04_10,fast
44,AB14,levelground_cw_fast_02_01_02,fast
45,AB14,levelground_cw_fast_02_01_03,fast
46,AB14,levelground_cw_fast_02_01_09,fast
47,AB14,levelground_cw_fast_02_01_10,fast
48,AB14,levelground_cw_fast_02_02_02,fast
49,AB14,levelground_cw_fast_02_02_03,fast
50,AB14,levelground_cw_fast_02_02_09,fast
51,AB14,levelground_cw_fast_02_02_10,fast
52,AB14,levelground_cw_normal_01_01_02,normal
53,AB14,levelground_cw_normal_01_01_03,normal
54,AB14,levelground_cw_normal_01_01_04,normal
55,AB14,levelground_cw_normal_01_01_10,normal
56,AB14,levelground_cw_normal_01_01_11,normal
57,AB14,levelground_cw_normal_01_02_02,normal
58,AB14,levelground_cw_normal_01_02_03,normal
59,AB14,levelground_cw_normal_01_02_04,normal
60,AB14,levelground_cw_normal_01_02_10,normal
61,AB14,levelground_cw_normal_01_02_11,normal
62,AB14,levelground_cw_normal_01_03_02,normal
63,AB14,levelground_cw_normal_01_03_03,normal
64,AB14,levelground_cw_normal_01_03_04,normal
65,AB14,levelground_cw_normal_01_03_10,normal
66,AB14,levelground_cw_normal_01_03_11,normal
67,AB14,levelground_cw_normal_01_04_02,normal
68,AB14,levelground_cw_normal_01_04_03,normal
69,AB14,levelground_cw_normal_01_04_04,normal
70,AB14,levelground_cw_normal_01_04_10,normal
71,AB14,levelground_cw_normal_01_04_11,normal
72,AB14,levelground_cw_normal_01_05_02,normal
73,AB14,levelground_cw_normal_01_05_03,normal
74,AB14,levelground_cw_normal_01_05_04,normal
75,AB14,levelground_cw_normal_01_05_10,normal
76,AB14,levelground_cw_normal_01_05_11,normal
77,AB14,levelground_cw_slow_01_01_02,slow
78,AB14,levelground_cw_slow_01_01_03,slow
79,AB14,levelground_cw_slow_01_01_04,slow
80,AB14,levelground_cw_slow_01_01_10,slow
81,AB14,levelground_cw_slow_01_02_02,slow
82,AB14,levelground_cw_slow_01_02_03,slow
83,AB14,levelground_cw_slow_01_02_04,slow
84,AB14,levelground_cw_slow_01_02_05,slow
85,AB14,levelground_cw_slow_01_02_10,slow
86,AB14,levelground_cw_slow_01_02_11,slow
87,AB14,levelground_cw_slow_01_03_02,slow
88,AB14,levelground_cw_slow_01_03_03,slow
89,AB14,levelground_cw_slow_01_03_04,slow
90,AB14,levelground_cw_slow_01_03_10,slow
91,AB14,levelground_cw_slow_01_03_11,slow
92,AB14,levelground_cw_slow_01_04_02,slow
93,AB14,levelground_cw_slow_01_04_03,slow
94,AB14,levelground_cw_slow_01_04_04,slow
95,AB14,levelground_cw_slow_01_04_10,slow
96,AB14,levelground_cw_slow_01_04_11,slow
97,AB14,levelground_cw_slow_01_05_02,slow
98,AB14,levelground_cw_slow_01_05_03,slow
99,AB14,levelground_cw_slow_01_05_04,slow
100,AB14,levelground_cw_slow_01_05_10,slow
101,AB14,levelground_cw_slow_01_05_11,slow
102,AB14,levelground_cw_slow_02_01_02,slow
103,AB14,levelground_cw_slow_02_01_03,slow
104,AB14,levelground_cw_slow_02_01_04,slow
105,AB14,levelground_cw_slow_02_01_10,slow
106,AB14,levelground_cw_slow_02_01_11,slow
107,AB14,levelground_cw_slow_02_02_03,slow
108,AB14,levelground_cw_slow_02_02_04,slow
109,AB14,levelground_cw_slow_02_02_05,slow
110,AB14,levelground_cw_slow_02_02_11,slow
111,AB14,levelground_cw_slow_02_02_12,slow
